kind,pointer,name,tier,tier_label,equation,identifier,identifier_source,distinct_paper_count,is_review_only,rag_confidence,sources,quotes,flags,notes
reaction,/processes/reactions/0,EntC reaction,C,single-source (review),chorismate -> isochorismate,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/1,EntB isochorismatase reaction,C,single-source (review),"isochorismate -> 2,3-dihydro-2,3-dihydroxybenzoate + pyruvate",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/2,EntA reaction,C,single-source (review),"2,3-dihydro-2,3-dihydroxybenzoate + NAD+ -> 2,3-dihydroxybenzoic acid + NADH",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/3,EntE reaction,C,single-source (review),"2,3-dihydroxybenzoic acid + ATP -> 2,3-dihydroxybenzoyl-AMP",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/4,EntF enterobactin synthase reaction,C,single-source (review),"2,3-dihydroxybenzoyl-AMP + L-serine -> enterobactin",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/0,"2,3-dihydro-2,3-dihydroxybenzoate",C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/1,"2,3-dihydroxybenzoyl-AMP",C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/2,isochorismate,A,DB-grounded,,40741,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/3,ATP,A,DB-grounded,,DB00171,drugbank,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/4,NAD+,A,DB-grounded,,721,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/5,NADH,A,DB-grounded,,DB00157,drugbank,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/6,L-serine,A,DB-grounded,,DB00133,drugbank,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis in Escherichia coli (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
