kind,pointer,name,tier,tier_label,equation,identifier,identifier_source,distinct_paper_count,is_review_only,rag_confidence,sources,quotes,flags,notes
reaction,/processes/reactions/0,LpxA reaction,C,single-source (review),UDP-GlcNAc + β-hydroxyacyl-ACP -> UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/1,LpxC reaction,C,single-source (review),UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine -> UDP-3-O-(R-3-hydroxydecanoyl)-glucosamine,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/2,WaaA reaction,C,single-source (review),lipid IVA -> Kdo-lipid IVA,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/3,LpxL reaction,C,single-source (review),Kdo-lipid IVA -> Kdo-lipid A,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/0,β-hydroxyacyl-ACP,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/1,Kdo-lipid A,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/2,Kdo-lipid IVA,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/3,UDP-GlcNAc,A,DB-grounded,,196,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/4,lipid IVA,A,DB-grounded,,40982,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/5,UDP-3-O-(R-3-hydroxydecanoyl)-glucosamine,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/6,UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/0,LpxA,A,DB-grounded,,P0A722,uniprot,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,(no code)@/entities/proteins/0,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/1,LpxC,A,DB-grounded,,P0A725,uniprot,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/2,LpxL,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,(no code)@/entities/proteins/2,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/3,LpxM,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",lipid A biosynthesis (Raetz pathway) (seed_paper) -- (section unknown),,(no code)@/entities/proteins/3,stated in the uploaded seed paper; no retrieved paper corroborates it
