kind,pointer,name,tier,tier_label,equation,identifier,identifier_source,distinct_paper_count,is_review_only,rag_confidence,sources,quotes,flags,notes
reaction,/processes/reactions/0,EntC-catalyzed conversion of chorismate to isochorismate,C,single-source (review),chorismate -> isochorismate,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/1,EntB-catalyzed conversion of isochorismate to DHB,C,single-source (review),"isochorismate -> 2,3-dihydro-2,3-dihydroxybenzoate (DHB)",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/2,EntE-catalyzed activation of DHB to DHB-AMP,C,single-source (review),"2,3-dihydro-2,3-dihydroxybenzoate (DHB) -> DHB-AMP",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
reaction,/processes/reactions/3,Enterobactin synthase complex-catalyzed assembly of enterobactin,C,single-source (review),"2,3-dihydro-2,3-dihydroxybenzoate (DHB) -> enterobactin",,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/0,DHB-AMP,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/1,isochorismate,A,DB-grounded,,40741,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/2,chorismate,A,DB-grounded,,7748,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/3,enterobactin,A,DB-grounded,,40793,pathbank_compound_id,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/compounds/4,"2,3-dihydro-2,3-dihydroxybenzoate (DHB)",C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/0,EntB,A,DB-grounded,,P0ADI4,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/1,EntC,A,DB-grounded,,P0AEJ2,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/proteins/2,EntE,A,DB-grounded,,P10378,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/entities/protein_complexes/0,enterobactin synthase complex,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,(no code)@/entities/protein_complexes/0 | (no code)@/entities/protein_complexes/0/components/0 | (no code)@/entities/protein_complexes/0/components/0 | (no code)@/entities/protein_complexes/0/components/1 | (no code)@/entities/protein_complexes/0/components/2,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/0/enzymes/0,EntC,A,DB-grounded,,P0AEJ2,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/1/enzymes/0,EntB,A,DB-grounded,,P0ADI4,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/2/enzymes/0,EntE,A,DB-grounded,,P10378,uniprot,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
entity,/processes/reactions/3/enzymes/0,enterobactin synthase complex,C,single-source (review),,,,0,False,"0.6 (heuristic, not a probability)",enterobactin biosynthesis (seed_paper) -- (section unknown),,,stated in the uploaded seed paper; no retrieved paper corroborates it
